File,VIX_Threshold,Sell_Strike,Number of Trades,Total Return,Max Drawdown,Risk/Reward Ratio,Winrate (%),DTE,Spread_Cost_Interval
vix_put_spread_results_threshold_22-23_strike_16.0.csv,22-23,16.0,56,10809.8,-590.3,18.312383533796375,92.85714285714286,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 20.0; 21.0; 22.0; 23.0; 26.0; 29.0; 30.0,-435.50000000000006 to -27.5
vix_put_spread_results_threshold_23-24_strike_16.0.csv,23-24,16.0,74,12264.699999999997,-524.8,23.370236280487802,87.83783783783784,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 21.0; 22.0; 23.0; 26.0; 28.0; 29.0,-529.0 to -15.000000000000002
vix_put_spread_results_threshold_24-25_strike_16.0.csv,24-25,16.0,44,9558.699999999997,-204.4,46.764677103718185,95.45454545454545,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 21.0; 22.0; 23.0; 26.0; 27.0; 30.0,-502.5 to -51.5
vix_put_spread_results_threshold_25-26_strike_16.0.csv,25-26,16.0,30,6958.000000000002,-267.40000000000003,26.020942408376968,93.33333333333333,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 13.0; 15.0; 16.0; 21.0; 23.0; 27.0; 28.0,-664.5 to -94.5
vix_put_spread_results_threshold_28-29_strike_16.0.csv,28-29,16.0,27,7831.1,-90.39999999999985,86.62721238938067,92.5925925925926,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 16.0; 22.0; 23.0; 30.0,-635.0 to -23.5
vix_put_spread_results_threshold_15-16_strike_17.0.csv,15-16,17.0,50,4098.999999999999,-547.5000000000002,7.486757990867575,80.0,11.0; 12.0; 13.0; 14.0; 15.0; 20.0; 22.0; 23.0; 26.0; 27.0; 28.0,41.0 to 185.0
vix_put_spread_results_threshold_16-17_strike_17.0.csv,16-17,17.0,132,11070.1,-919.3000000000001,12.041879691069292,78.03030303030303,6.0; 7.0; 8.0; 10.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 30.0,0.0 to 82.50000000000001
vix_put_spread_results_threshold_17-18_strike_17.0.csv,17-18,17.0,211,18998.3,-59.20000000000004,320.9172297297295,82.93838862559242,4.0; 5.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,0.0 to 0.0
vix_put_spread_results_threshold_18-19_strike_17.0.csv,18-19,17.0,216,23432.799999999996,-267.2999999999998,87.66479610924061,95.83333333333334,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 26.0; 27.0; 28.0; 29.0; 30.0,-145.99999999999997 to -8.5
vix_put_spread_results_threshold_19-20_strike_17.0.csv,19-20,17.0,194,23259.199999999997,-592.4000000000003,39.262660364618476,91.23711340206185,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 26.0; 27.0; 28.0; 29.0; 30.0,-249.5 to -19.0
